numero_concurso,dezenas_sorteadas
1,04 05 30 33 41 52
2,09 37 39 41 43 49
3,10 11 29 30 36 47
4,01 05 06 27 42 59
5,01 02 06 16 19 46
6,07 13 19 22 40 47
7,03 05 20 21 38 56
8,04 17 37 38 47 53
9,08 43 54 55 56 60
10,04 18 21 25 38 57
11,15 25 37 38 58 59
12,04 16 19 20 27 43
13,18 32 47 50 54 56
14,02 16 23 27 47 53
15,12 33 35 51 52 60
16,20 32 34 49 58 60
17,06 10 13 19 20 51
18,23 27 36 37 42 56
19,05 10 12 24 25 60
20,11 25 28 30 33 51
21,06 33 36 46 49 53
22,01 09 31 38 46 56
23,17 37 39 51 52 59
24,01 08 14 28 33 43
25,24 43 50 54 55 56
26,10 22 50 53 57 58
27,13 17 20 33 44 51
28,03 06 22 24 54 60
29,03 08 14 43 56 58
30,07 14 15 29 38 50
31,17 19 28 45 48 56
32,05 14 33 36 43 44
33,05 17 33 39 42 49
34,13 15 17 40 53 57
35,04 16 21 23 54 57
36,03 13 17 25 29 51
37,06 07 22 38 52 60
38,10 42 43 45 54 55
39,12 16 37 45 52 56
40,03 05 08 12 46 47
41,12 26 35 38 39 47
42,07 11 19 24 33 36
43,02 06 17 25 26 58
44,14 18 29 38 44 47
45,07 30 37 44 53 55
46,01 23 24 32 46 60
47,03 17 25 35 48 56
48,02 05 28 34 47 50
49,07 13 33 35 43 55
50,06 16 21 44 57 58
51,17 23 24 25 42 47
52,15 30 38 46 58 59
53,03 13 16 38 42 46
54,05 09 18 21 36 56
55,02 14 23 29 38 52
56,02 07 20 35 51 59
57,07 16 17 27 34 59
58,12 27 30 37 44 49
59,02 08 13 28 34 54
60,03 14 15 20 21 38
61,08 18 29 42 44 59
62,06 08 13 24 31 52
63,09 25 26 40 41 49
64,08 12 23 50 54 60
65,01 05 20 25 32 34
66,12 13 15 26 33 48
67,12 14 17 27 47 52
68,01 03 12 13 53 59
69,25 34 45 53 56 58
70,17 23 27 40 43 58
71,16 27 33 43 45 53
72,01 19 34 43 44 48
73,25 26 28 45 51 57
74,02 24 34 37 38 50
75,21 24 35 36 37 49
76,08 17 18 23 33 53
77,21 29 40 49 54 57
78,12 22 25 31 32 46
79,02 13 17 25 31 43
80,23 28 37 40 48 51
81,10 23 41 47 54 60
82,15 18 29 36 51 53
83,04 15 16 24 42 57
84,04 06 10 25 34 40
85,06 15 30 37 45 47
86,06 21 22 34 36 54
87,04 05 11 28 32 40
88,04 18 29 37 43 45
89,13 34 42 44 55 59
90,09 21 26 40 52 54
91,02 04 10 35 39 60
92,01 03 05 23 24 51
93,02 22 28 31 36 53
94,08 18 28 51 52 55
95,06 40 45 46 50 60
96,04 07 26 40 42 58
97,05 11 14 35 53 56
98,13 14 31 33 35 43
99,11 24 30 33 46 60
100,14 29 30 46 48 51
101,01 18 29 31 37 39
102,19 20 37 42 44 56
103,01 07 09 49 54 57
104,01 04 13 21 38 52
105,03 13 31 43 46 49
106,05 16 24 35 38 39
107,02 04 16 24 51 52
108,21 24 29 34 59 60
109,01 13 44 48 49 54
110,18 31 43 52 57 58
111,04 22 25 32 33 52
112,12 20 34 37 42 43
113,07 26 28 34 54 55
114,06 12 18 37 47 54
115,04 06 14 20 24 38
116,05 13 32 36 42 51
117,20 25 27 33 42 53
118,09 22 25 37 56 57
119,01 21 36 38 47 50
120,03 16 27 40 45 46
121,02 29 41 44 53 55
122,11 17 20 39 43 53
123,13 14 16 26 32 42
124,05 15 34 41 52 57
125,25 41 47 53 56 59
126,06 10 11 28 32 40
127,21 29 50 51 54 59
128,03 09 18 21 23 43
129,01 09 10 32 46 54
130,13 29 38 42 49 53
131,04 09 17 27 30 44
132,07 09 35 41 44 50
133,05 06 19 34 39 57
134,04 25 32 36 52 60
135,21 22 35 40 53 59
136,01 17 25 38 45 59
137,15 16 19 22 26 49
138,05 14 27 37 40 41
139,03 13 26 27 41 42
140,07 31 41 44 46 55
141,10 13 22 41 42 58
142,08 15 19 20 54 59
143,06 18 20 40 50 53
144,08 32 36 44 45 55
145,15 16 31 41 43 51
146,25 32 34 42 51 60
147,06 16 23 24 28 38
148,32 35 41 55 58 59
149,07 11 20 28 45 48
150,12 44 50 52 54 55
151,03 16 20 43 52 56
152,05 12 15 29 51 58
153,02 30 31 42 45 47
154,08 10 24 33 45 48
155,12 30 32 35 43 44
156,17 23 42 49 52 55
157,04 13 17 21 41 44
158,04 14 17 43 51 58
159,09 11 16 35 50 58
160,02 13 42 52 54 58
161,06 25 30 37 39 41
162,21 23 33 38 48 51
163,08 27 36 41 53 56
164,04 10 14 19 28 44
165,10 19 23 35 39 56
166,12 13 22 57 59 60
167,01 11 28 33 38 48
168,02 09 31 35 45 50
169,01 13 21 37 51 52
170,07 41 46 51 55 58
171,04 27 40 43 46 54
172,10 14 26 35 36 49
173,17 28 29 42 49 50
174,11 22 23 36 52 59
175,01 10 13 20 42 50
176,01 03 04 28 45 53
177,22 35 38 39 41 59
178,05 15 19 26 27 33
179,05 06 23 26 27 53
180,06 23 29 39 51 60
181,01 27 33 35 51 55
182,03 05 10 28 46 60
183,02 07 11 16 40 44
184,09 16 21 34 41 60
185,17 22 43 46 55 59
186,14 23 24 25 26 51
187,06 36 41 44 48 58
188,17 27 34 42 43 46
189,04 15 31 38 41 53
190,05 10 21 32 40 42
191,01 03 05 23 41 58
192,01 26 28 41 54 60
193,04 11 12 19 43 49
194,25 28 32 33 42 43
195,03 09 17 32 37 44
196,07 09 14 17 24 32
197,05 12 15 19 29 52
198,01 08 18 23 35 40
199,10 16 37 50 52 57
200,12 15 19 34 44 51
201,05 20 22 30 35 55
202,12 24 44 45 49 53
203,11 19 29 44 47 55
204,29 31 39 41 51 58
205,26 32 40 43 46 54
206,18 20 26 34 51 56
207,03 07 19 24 53 55
208,15 23 24 25 47 57
209,13 21 26 32 41 52
210,20 32 37 38 48 58
211,10 20 33 40 45 50
212,06 15 29 45 57 59
213,03 09 23 30 32 35
214,06 12 30 31 35 50
215,07 28 37 46 53 58
216,14 18 30 35 42 59
217,03 27 32 45 49 51
218,12 17 40 42 47 54
219,23 26 28 36 42 49
220,13 14 36 53 55 60
221,13 27 43 50 54 58
222,05 19 30 48 52 55
223,02 06 22 24 28 58
224,07 16 18 20 21 44
225,02 04 16 21 37 58
226,01 02 38 49 50 59
227,11 26 27 37 42 48
228,13 16 40 43 45 59
229,11 13 21 33 39 45
230,08 40 41 44 53 56
231,16 27 36 42 44 59
232,19 22 29 37 41 59
233,03 07 24 32 36 45
234,15 25 41 42 45 54
235,02 22 29 31 41 55
236,10 25 50 52 57 60
237,07 31 36 45 56 57
238,09 13 15 37 41 42
239,06 21 33 44 46 47
240,25 28 38 41 57 59
241,11 31 35 40 56 57
242,04 07 21 22 28 56
243,11 16 20 23 32 47
244,19 24 33 47 50 60
245,08 27 44 51 53 60
246,02 16 32 37 43 57
247,03 10 23 30 34 46
248,16 32 34 35 41 56
249,21 36 40 49 54 55
250,07 25 41 42 43 55
251,15 23 30 34 49 55
252,04 17 26 32 51 54
253,11 12 24 37 44 56
254,01 04 21 22 30 56
255,16 19 20 32 44 55
256,02 21 26 32 34 52
257,01 04 05 19 28 34
258,07 12 50 54 55 60
259,13 15 20 33 43 58
260,04 06 33 43 59 60
261,05 16 20 30 54 56
262,11 20 48 53 58 60
263,08 09 26 43 50 53
264,01 05 13 25 31 33
265,07 16 34 41 50 53
266,02 23 38 46 48 54
267,01 08 45 46 55 58
268,05 06 10 21 33 47
269,17 18 19 25 49 52
270,05 09 27 35 40 45
271,14 24 26 29 31 54
272,09 10 24 36 56 58
273,10 17 23 27 47 52
274,11 13 18 26 39 47
275,16 19 30 37 38 48
276,22 39 45 53 57 59
277,04 26 38 40 52 56
278,10 15 18 22 31 55
279,04 23 31 47 58 59
280,05 16 20 25 30 58
281,05 11 31 38 47 53
282,09 14 23 24 33 36
283,25 28 34 42 48 54
284,07 08 14 30 32 36
285,12 32 37 41 50 56
286,29 35 37 44 47 56
287,03 13 25 33 47 60
288,06 09 11 17 18 50
289,06 07 20 25 30 36
290,07 25 26 30 40 57
291,05 16 17 18 22 41
292,13 23 24 34 45 53
293,05 06 07 12 28 35
294,22 25 28 41 45 57
295,07 12 24 31 44 50
296,03 20 42 46 51 52
297,01 20 28 33 36 41
298,05 22 23 24 34 60
299,02 05 07 33 49 53
300,24 27 28 38 41 57
301,09 26 48 49 57 58
302,12 25 30 40 41 60
303,07 13 17 30 37 47
304,07 11 34 41 42 59
305,05 11 27 38 53 60
306,19 30 41 47 56 57
307,13 16 17 26 41 44
308,04 11 25 29 39 55
309,04 11 25 39 50 55
310,02 14 28 29 31 32
311,22 24 30 32 38 41
312,14 23 30 41 47 50
313,14 16 24 37 38 53
314,05 32 34 37 40 58
315,12 21 22 28 43 50
316,06 24 28 43 51 56
317,16 20 27 30 35 48
318,03 19 20 31 40 53
319,12 16 17 19 23 48
320,20 22 27 47 50 53
321,04 11 31 32 48 49
322,11 18 29 44 47 56
323,26 31 33 40 49 54
324,08 15 22 25 30 47
325,01 03 04 21 23 53
326,21 23 40 44 51 52
327,29 32 33 38 46 48
328,05 07 14 21 23 51
329,10 11 12 24 35 40
330,02 04 14 23 37 51
331,01 13 20 27 35 37
332,23 28 29 34 42 44
333,04 27 35 44 52 53
334,14 23 24 26 41 51
335,07 23 33 43 57 59
336,02 18 22 26 30 54
337,04 14 16 31 52 54
338,01 04 09 36 46 48
339,05 12 13 16 27 50
340,09 10 12 33 42 60
341,05 16 22 23 43 56
342,16 29 34 49 51 54
343,04 06 07 12 24 41
344,10 12 14 33 35 36
345,11 22 46 51 56 58
346,07 12 41 46 56 60
347,01 10 12 26 48 52
348,19 30 33 39 40 52
349,08 09 28 32 38 54
350,10 15 23 30 43 57
351,15 16 24 41 59 60
352,07 20 25 44 47 49
353,19 23 30 46 55 60
354,07 16 38 40 41 52
355,02 14 22 23 37 60
356,05 19 21 54 56 58
357,02 30 32 35 45 53
358,12 17 21 32 40 42
359,13 19 20 29 31 54
360,23 24 29 47 53 55
361,16 28 31 41 45 59
362,07 20 33 37 46 56
363,19 29 39 47 49 54
364,05 29 44 51 57 59
365,19 23 34 37 52 58
366,04 06 07 15 21 51
367,10 12 27 33 49 52
368,13 29 32 38 44 50
369,01 14 21 35 42 60
370,01 04 40 42 51 54
371,04 18 23 33 39 60
372,16 17 24 39 46 57
373,01 05 10 24 31 33
374,02 05 16 26 44 54
375,01 05 09 42 51 58
376,10 13 25 35 43 48
377,03 12 19 27 45 46
378,05 38 41 45 48 55
379,24 33 40 41 55 59
380,13 22 30 31 47 57
381,09 10 28 46 55 56
382,31 34 37 38 53 54
383,14 22 48 50 53 56
384,24 28 40 47 50 52
385,05 12 16 18 22 24
386,17 35 36 39 43 54
387,22 28 29 43 47 48
388,23 36 48 52 53 58
389,05 14 18 43 46 54
390,07 12 22 34 38 53
391,04 07 15 16 35 40
392,15 23 31 39 47 49
393,06 12 35 36 40 50
394,05 15 35 42 45 49
395,10 11 14 20 31 58
396,06 18 34 42 45 47
397,01 02 05 24 32 46
398,07 16 22 28 36 37
399,11 16 27 47 55 59
400,10 13 28 29 54 59
401,11 18 43 44 50 53
402,05 16 27 43 56 58
403,07 16 27 31 46 60
404,01 24 28 38 40 58
405,24 29 34 47 57 60
406,02 12 32 38 47 48
407,02 18 22 49 51 57
408,14 28 33 44 49 56
409,18 25 26 31 34 49
410,08 24 31 36 38 55
411,10 12 31 38 45 56
412,05 12 14 21 45 59
413,02 04 29 33 35 53
414,16 26 35 45 52 58
415,01 04 27 38 42 44
416,01 13 23 33 54 56
417,07 12 21 25 34 42
418,08 15 32 45 49 52
419,09 16 41 42 52 53
420,12 29 30 43 57 59
421,05 35 37 38 45 51
422,12 37 43 55 56 60
423,08 22 32 33 40 53
424,18 27 29 36 46 59
425,06 10 16 34 42 47
426,07 30 32 37 50 54
427,03 13 14 24 43 51
428,08 28 30 32 46 60
429,17 26 32 36 43 55
430,08 10 21 25 38 50
431,26 37 40 47 52 58
